Q1a (i) — Average Savings Balance by Customer Segment,,,,,,,,
,,,,,,,,
customer_segment,customer_count,avg_balance,median_balance,total_balance,,,,
Premium,90,"Rs 2,655,799.81","Rs 2,504,759.74","Rs 239,021,982.82",,,,
Regular,305,"Rs 424,430.07","Rs 448,297.06","Rs 129,451,170.26",,,,
Starter,89,"Rs 82,628.11","Rs 85,217.43","Rs 7,353,901.53",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
-- Q1a (ii) — Average Savings Balance by Province,,,,,,,,
,,,,,,,,
province,customer_count,avg_balance,median_balance,,,,,
Eastern,49,"Rs 965,043.83","Rs 562,847.61",,,,,
Sabaragamuwa,54,"Rs 925,221.22","Rs 409,666.60",,,,,
Western,100,"Rs 854,126.55","Rs 436,777.13",,,,,
North Western,53,"Rs 785,793.53","Rs 532,220.84",,,,,
Central,45,"Rs 738,830.90","Rs 430,134.97",,,,,
Southern,80,"Rs 658,411.42","Rs 378,636.03",,,,,
Northern,58,"Rs 630,830.75","Rs 398,645.90",,,,,
Uva,50,"Rs 630,638.46","Rs 416,563.70",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Q1a (iii) — Average Savings Balance by Urban/Rural,,,,,,,,
,,,,,,,,
urban_rural,customer_count,avg_balance,median_balance,,,,,
Urban,184,"Rs 898,119.09","Rs 512,586.53",,,,,
Rural,120,"Rs 733,468.06","Rs 429,709.61",,,,,
Suburban,185,"Rs 676,103.45","Rs 368,051.95",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Q1b — Age Band Analysis,,,,,,,,
,,,,,,,,
age_band,customer_count,total_savings,avg_savings_per_customer,,,,,
18-25,84,"Rs 64,939,590.68","Rs 773,090.37",,,,,
26-35,146,"Rs 116,814,554.20","Rs 800,099.69",,,,,
36-45,140,"Rs 113,187,417.85","Rs 808,481.56",,,,,
46-55,115,"Rs 81,991,632.21","Rs 712,970.71",,,,,
66+,1,"Rs 64,001.58","Rs 64,001.58",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Q1c — Growing vs Draining Customers,,,,,,,,
,,,,,,,,
flow_status,customer_count,percentage,avg_net_flow,,,,,
Growing,492,100,"Rs 16,203.24",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Q1c (bonus) — Growing vs Draining broken down by Segment,,,,,,,,
,,,,,,,,
customer_segment,total_customers,growing,draining,prcnt_growing,avg_net_flow,,,
Premium,90,90,0,100,"Rs 57,288.95",,,
Regular,309,309,0,100,"Rs 8,517.93",,,
Starter,88,88,0,100,"Rs 1,679.02",,,
